[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] Loaded HTML Templates (2): 
	- 
	- index.html

[GIN-debug] GET    /static/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] HEAD   /static/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] GET    /                         --> main.main.func1 (3 handlers)
[GIN-debug] GET    /v1/users                 --> _/Users/izingamacmini/Backend/src/Methods.GetAllUsers (4 handlers)
[GIN-debug] GET    /v1/user/:name            --> _/Users/izingamacmini/Backend/src/Methods.GetUserDetail (4 handlers)
[GIN-debug] POST   /v1/user/new              --> _/Users/izingamacmini/Backend/src/Methods.CreateNewUser (4 handlers)
[GIN-debug] PUT    /v1/user/:name            --> _/Users/izingamacmini/Backend/src/Methods.UpdateUserDetail (4 handlers)
[GIN-debug] DELETE /v1/user/:name            --> _/Users/izingamacmini/Backend/src/Methods.DeleteUserDetail (4 handlers)
[GIN-debug] Listening and serving HTTP on :3000
[GIN] 2019/12/13 - 17:54:11 | 200 |     592.983µs |             ::1 | GET      /
[GIN] 2019/12/13 - 17:54:11 | 200 |    7.586804ms |             ::1 | GET      /static/js/manifest.8eda1f5ad1db59a698af.js
[GIN] 2019/12/13 - 17:54:11 | 200 |     9.58622ms |             ::1 | GET      /static/css/app.31dfadca10de1eaaf65bbbb8bf67aa3b.css
[GIN] 2019/12/13 - 17:54:11 | 200 |     6.92588ms |             ::1 | GET      /static/js/app.2a711267969eb3daa1b5.js
[GIN] 2019/12/13 - 17:54:11 | 200 |   10.078699ms |             ::1 | GET      /static/js/vendor.895b88d37867327a27c3.js
[GIN] 2019/12/13 - 17:54:11 | 200 |     974.481µs |             ::1 | GET      /static/js/manifest.8eda1f5ad1db59a698af.js.map
[GIN] 2019/12/13 - 17:54:11 | 200 |     527.619µs |             ::1 | GET      /v1/users
[GIN] 2019/12/13 - 17:54:11 | 200 |    2.523816ms |             ::1 | GET      /static/js/app.2a711267969eb3daa1b5.js.map
[GIN] 2019/12/13 - 17:54:11 | 200 |   23.697199ms |             ::1 | GET      /static/js/vendor.895b88d37867327a27c3.js.map
[GIN] 2019/12/13 - 17:54:11 | 200 |     349.698µs |             ::1 | GET      /
[GIN] 2019/12/13 - 17:54:12 | 200 |     202.358µs |             ::1 | GET      /static/css/app.31dfadca10de1eaaf65bbbb8bf67aa3b.css
[GIN] 2019/12/13 - 17:54:12 | 200 |     210.926µs |             ::1 | GET      /static/js/manifest.8eda1f5ad1db59a698af.js
[GIN] 2019/12/13 - 17:54:12 | 200 |     658.709µs |             ::1 | GET      /static/js/vendor.895b88d37867327a27c3.js
[GIN] 2019/12/13 - 17:54:12 | 200 |     381.288µs |             ::1 | GET      /static/js/app.2a711267969eb3daa1b5.js
[GIN] 2019/12/13 - 17:54:12 | 200 |     261.786µs |             ::1 | GET      /static/js/manifest.8eda1f5ad1db59a698af.js.map
[GIN] 2019/12/13 - 17:54:12 | 200 |    7.336001ms |             ::1 | GET      /static/js/vendor.895b88d37867327a27c3.js.map
[GIN] 2019/12/13 - 17:54:12 | 200 |      70.808µs |             ::1 | GET      /v1/users
[GIN] 2019/12/13 - 17:54:12 | 200 |     349.482µs |             ::1 | GET      /static/js/app.2a711267969eb3daa1b5.js.map
[GIN] 2019/12/13 - 17:54:15 | 200 |     103.708µs |             ::1 | DELETE   /v1/user/Kushagra
[GIN] 2019/12/13 - 17:54:15 | 200 |     114.022µs |             ::1 | GET      /v1/users
